driver_key,date,value
rare_earth_index,2021-09-01,100.0
rare_earth_index,2021-10-01,101.3142
rare_earth_index,2021-11-01,98.5585
rare_earth_index,2021-12-01,101.1716
rare_earth_index,2022-01-01,104.431
rare_earth_index,2022-02-01,98.7363
rare_earth_index,2022-03-01,95.2741
rare_earth_index,2022-04-01,96.0206
rare_earth_index,2022-05-01,95.4937
rare_earth_index,2022-06-01,95.8275
rare_earth_index,2022-07-01,93.7585
rare_earth_index,2022-08-01,96.607
rare_earth_index,2022-09-01,99.2477
rare_earth_index,2022-10-01,99.8413
rare_earth_index,2022-11-01,103.617
rare_earth_index,2022-12-01,105.4847
rare_earth_index,2023-01-01,103.1874
rare_earth_index,2023-02-01,104.7416
rare_earth_index,2023-03-01,102.1476
rare_earth_index,2023-04-01,105.2481
rare_earth_index,2023-05-01,105.5114
rare_earth_index,2023-06-01,105.3483
rare_earth_index,2023-07-01,103.6177
rare_earth_index,2023-08-01,107.8325
rare_earth_index,2023-09-01,107.7639
rare_earth_index,2023-10-01,106.8102
rare_earth_index,2023-11-01,106.1091
rare_earth_index,2023-12-01,108.228
rare_earth_index,2024-01-01,109.8475
rare_earth_index,2024-02-01,111.647
rare_earth_index,2024-03-01,113.5366
rare_earth_index,2024-04-01,121.2854
rare_earth_index,2024-05-01,120.2918
rare_earth_index,2024-06-01,118.9244
rare_earth_index,2024-07-01,116.4967
rare_earth_index,2024-08-01,119.1155
rare_earth_index,2024-09-01,123.6263
rare_earth_index,2024-10-01,123.6982
rare_earth_index,2024-11-01,121.0752
rare_earth_index,2024-12-01,118.5648
rare_earth_index,2025-01-01,121.3532
rare_earth_index,2025-02-01,124.5445
rare_earth_index,2025-03-01,127.0721
rare_earth_index,2025-04-01,125.0433
rare_earth_index,2025-05-01,126.4144
rare_earth_index,2025-06-01,127.3626
rare_earth_index,2025-07-01,128.7076
rare_earth_index,2025-08-01,132.5872
rare_earth_index,2025-09-01,134.007
rare_earth_index,2025-10-01,137.2724
rare_earth_index,2025-11-01,138.0998
rare_earth_index,2025-12-01,139.85
rare_earth_index,2026-01-01,143.058
rare_earth_index,2026-02-01,137.3765
rare_earth_index,2026-03-01,136.6085
rare_earth_index,2026-04-01,135.2272
rare_earth_index,2026-05-01,133.1763
rare_earth_index,2026-06-01,132.6098
rare_earth_index,2026-07-01,139.0875
rare_earth_index,2026-08-01,136.0311
energy_price_index,2021-09-01,100.0
energy_price_index,2021-10-01,102.7207
energy_price_index,2021-11-01,98.7072
energy_price_index,2021-12-01,98.177
energy_price_index,2022-01-01,98.8709
energy_price_index,2022-02-01,100.6166
energy_price_index,2022-03-01,102.7074
energy_price_index,2022-04-01,105.0526
energy_price_index,2022-05-01,104.4519
energy_price_index,2022-06-01,103.558
energy_price_index,2022-07-01,106.0899
energy_price_index,2022-08-01,105.9008
energy_price_index,2022-09-01,102.8411
energy_price_index,2022-10-01,100.2359
energy_price_index,2022-11-01,98.2325
energy_price_index,2022-12-01,99.7482
energy_price_index,2023-01-01,100.4026
energy_price_index,2023-02-01,102.4369
energy_price_index,2023-03-01,101.6501
energy_price_index,2023-04-01,102.3579
energy_price_index,2023-05-01,104.2659
energy_price_index,2023-06-01,103.7723
energy_price_index,2023-07-01,105.2686
energy_price_index,2023-08-01,103.8424
energy_price_index,2023-09-01,103.2115
energy_price_index,2023-10-01,102.5361
energy_price_index,2023-11-01,99.7783
energy_price_index,2023-12-01,101.2924
energy_price_index,2024-01-01,100.4076
energy_price_index,2024-02-01,100.7401
energy_price_index,2024-03-01,102.2531
energy_price_index,2024-04-01,103.7014
energy_price_index,2024-05-01,105.7375
energy_price_index,2024-06-01,105.7944
energy_price_index,2024-07-01,104.9922
energy_price_index,2024-08-01,105.0979
energy_price_index,2024-09-01,100.9798
energy_price_index,2024-10-01,97.6295
energy_price_index,2024-11-01,94.6941
energy_price_index,2024-12-01,92.6173
energy_price_index,2025-01-01,93.8208
energy_price_index,2025-02-01,91.9785
energy_price_index,2025-03-01,91.3848
energy_price_index,2025-04-01,94.6272
energy_price_index,2025-05-01,94.0683
energy_price_index,2025-06-01,96.0849
energy_price_index,2025-07-01,94.1305
energy_price_index,2025-08-01,93.9295
energy_price_index,2025-09-01,91.9804
energy_price_index,2025-10-01,91.4767
energy_price_index,2025-11-01,93.6728
energy_price_index,2025-12-01,89.9088
energy_price_index,2026-01-01,91.155
energy_price_index,2026-02-01,91.9702
energy_price_index,2026-03-01,90.88
energy_price_index,2026-04-01,87.8672
energy_price_index,2026-05-01,88.2893
energy_price_index,2026-06-01,87.3854
energy_price_index,2026-07-01,88.1559
energy_price_index,2026-08-01,88.4685
freight_index,2021-09-01,100.0
freight_index,2021-10-01,106.5071
freight_index,2021-11-01,105.5939
freight_index,2021-12-01,101.3765
freight_index,2022-01-01,102.2048
freight_index,2022-02-01,103.2064
freight_index,2022-03-01,108.9207
freight_index,2022-04-01,112.6681
freight_index,2022-05-01,114.3891
freight_index,2022-06-01,121.1989
freight_index,2022-07-01,115.557
freight_index,2022-08-01,112.7155
freight_index,2022-09-01,108.6506
freight_index,2022-10-01,107.0651
freight_index,2022-11-01,101.2764
freight_index,2022-12-01,103.9507
freight_index,2023-01-01,103.1306
freight_index,2023-02-01,97.1664
freight_index,2023-03-01,93.3163
freight_index,2023-04-01,94.5799
freight_index,2023-05-01,97.8453
freight_index,2023-06-01,105.7579
freight_index,2023-07-01,118.1902
freight_index,2023-08-01,120.2676
freight_index,2023-09-01,115.6275
freight_index,2023-10-01,105.8822
freight_index,2023-11-01,107.1219
freight_index,2023-12-01,103.7457
freight_index,2024-01-01,102.1258
freight_index,2024-02-01,99.7275
freight_index,2024-03-01,99.2656
freight_index,2024-04-01,103.5974
freight_index,2024-05-01,104.3518
freight_index,2024-06-01,103.794
freight_index,2024-07-01,99.598
freight_index,2024-08-01,93.0258
freight_index,2024-09-01,91.3093
freight_index,2024-10-01,91.2041
freight_index,2024-11-01,97.7451
freight_index,2024-12-01,98.3521
freight_index,2025-01-01,102.3167
freight_index,2025-02-01,100.3755
freight_index,2025-03-01,95.7183
freight_index,2025-04-01,92.1189
freight_index,2025-05-01,89.5387
freight_index,2025-06-01,97.2515
freight_index,2025-07-01,94.1535
freight_index,2025-08-01,97.4055
freight_index,2025-09-01,93.9849
freight_index,2025-10-01,97.5811
freight_index,2025-11-01,99.1812
freight_index,2025-12-01,98.659
freight_index,2026-01-01,98.5967
freight_index,2026-02-01,96.1129
freight_index,2026-03-01,97.924
