material_code,date,price
MAT-001,2022-09-01,1258.59
MAT-001,2022-10-01,1250.38
MAT-001,2022-11-01,1274.14
MAT-001,2022-12-01,1306.71
MAT-001,2023-01-01,1302.86
MAT-001,2023-02-01,1287.8
MAT-001,2023-03-01,1299.14
MAT-001,2023-04-01,1280.46
MAT-001,2023-05-01,1269.44
MAT-001,2023-06-01,1280.49
MAT-001,2023-07-01,1258.63
MAT-001,2023-08-01,1292.04
MAT-001,2023-09-01,1295.69
MAT-001,2023-10-01,1316.81
MAT-001,2023-11-01,1333.1
MAT-001,2023-12-01,1269.56
MAT-001,2024-01-01,1309.91
MAT-001,2024-02-01,1284.27
MAT-001,2024-03-01,1334.93
MAT-001,2024-04-01,1358.33
MAT-001,2024-05-01,1313.9
MAT-001,2024-06-01,1375.25
MAT-001,2024-07-01,1325.4
MAT-001,2024-08-01,1327.99
MAT-001,2024-09-01,1331.98
MAT-001,2024-10-01,1336.88
MAT-001,2024-11-01,1362.0
MAT-001,2024-12-01,1344.77
MAT-001,2025-01-01,1379.16
MAT-001,2025-02-01,1391.85
MAT-001,2025-03-01,1417.55
MAT-001,2025-04-01,1373.17
MAT-001,2025-05-01,1350.45
MAT-001,2025-06-01,1429.44
MAT-001,2025-07-01,1387.6
MAT-001,2025-08-01,1445.77
MAT-001,2025-09-01,1433.12
MAT-001,2025-10-01,1432.24
MAT-001,2025-11-01,1457.56
MAT-001,2025-12-01,1508.69
MAT-001,2026-01-01,1526.36
MAT-001,2026-02-01,1447.04
MAT-001,2026-03-01,1440.53
MAT-001,2026-04-01,1449.1
MAT-001,2026-05-01,1453.65
MAT-001,2026-06-01,1426.76
MAT-001,2026-07-01,1432.95
MAT-001,2026-08-01,1294.06
MAT-002,2023-03-01,181.15
MAT-002,2023-04-01,178.2
MAT-002,2023-05-01,180.17
MAT-002,2023-06-01,187.24
MAT-002,2023-07-01,194.03
MAT-002,2023-08-01,193.96
MAT-002,2023-09-01,199.76
MAT-002,2023-10-01,192.53
MAT-002,2023-11-01,180.52
MAT-002,2023-12-01,187.62
MAT-002,2024-01-01,181.96
MAT-002,2024-02-01,183.3
MAT-002,2024-03-01,188.86
MAT-002,2024-04-01,193.67
MAT-002,2024-05-01,192.05
MAT-002,2024-06-01,198.71
MAT-002,2024-07-01,186.91
MAT-002,2024-08-01,189.22
MAT-002,2024-09-01,198.09
MAT-002,2024-10-01,184.16
MAT-002,2024-11-01,193.58
MAT-002,2024-12-01,189.52
MAT-002,2025-01-01,194.9
MAT-002,2025-02-01,188.2
MAT-002,2025-03-01,183.49
MAT-002,2025-04-01,185.43
MAT-002,2025-05-01,190.69
MAT-002,2025-06-01,189.76
MAT-002,2025-07-01,190.19
MAT-002,2025-08-01,195.11
MAT-002,2025-09-01,179.42
MAT-002,2025-10-01,185.42
MAT-002,2025-11-01,190.16
MAT-002,2025-12-01,184.07
MAT-002,2026-01-01,191.15
MAT-002,2026-02-01,177.88
MAT-002,2026-03-01,184.25
MAT-002,2026-04-01,173.16
MAT-002,2026-05-01,175.16
MAT-002,2026-06-01,190.09
MAT-002,2026-07-01,182.57
MAT-002,2026-08-01,183.42
MAT-003,2026-01-01,4010.68
MAT-003,2026-02-01,3820.03
MAT-003,2026-03-01,4201.4
MAT-003,2026-04-01,4391.1
MAT-003,2026-05-01,4041.29
MAT-003,2026-06-01,3820.86
MAT-003,2026-07-01,3757.99
MAT-003,2026-08-01,4037.52
MAT-004,2023-05-01,67.39
MAT-004,2023-06-01,67.83
MAT-004,2023-07-01,67.98
MAT-004,2023-08-01,68.55
MAT-004,2023-09-01,69.75
MAT-004,2023-10-01,68.36
MAT-004,2023-11-01,67.28
MAT-004,2023-12-01,70.45
MAT-004,2024-01-01,74.07
MAT-004,2024-02-01,70.51
MAT-004,2024-03-01,74.69
MAT-004,2024-04-01,81.01
MAT-004,2024-05-01,74.33
MAT-004,2024-06-01,77.6
MAT-004,2024-07-01,71.53
MAT-004,2024-08-01,74.19
MAT-004,2024-09-01,74.81
MAT-004,2024-10-01,76.56
MAT-004,2024-11-01,77.81
MAT-004,2024-12-01,71.96
MAT-004,2025-01-01,71.24
MAT-004,2025-02-01,69.97
MAT-004,2025-03-01,70.51
MAT-004,2025-04-01,67.16
MAT-004,2025-05-01,74.2
MAT-004,2025-06-01,73.54
MAT-004,2025-07-01,72.03
MAT-004,2025-08-01,65.49
MAT-004,2025-09-01,69.06
MAT-004,2025-10-01,68.39
MAT-004,2025-11-01,74.35
MAT-004,2025-12-01,72.31
MAT-004,2026-01-01,70.28
MAT-004,2026-02-01,71.51
MAT-004,2026-03-01,68.27
MAT-004,2026-04-01,72.01
MAT-004,2026-05-01,75.99
MAT-004,2026-06-01,76.25
MAT-004,2026-07-01,75.0
MAT-004,2026-08-01,70.29
