date,price,currency,unit
2022-02-01,1217.60,USD,L
2022-03-01,1248.35,USD,L
2022-04-01,1236.90,USD,L
2022-05-01,1269.75,USD,L
2022-06-01,1251.20,USD,L
2022-07-01,1278.45,USD,L
2022-08-01,1306.80,USD,L
2022-09-01,1287.15,USD,L
2022-10-01,1299.60,USD,L
2022-11-01,1338.25,USD,L
2022-12-01,1317.40,USD,L
2023-01-01,1349.85,USD,L
2023-02-01,1328.10,USD,L
2023-03-01,1362.95,USD,L
2023-04-01,1341.30,USD,L
2023-05-01,1318.75,USD,L
2023-06-01,1354.40,USD,L
2023-07-01,1337.15,USD,L
2023-08-01,1389.70,USD,L
2023-09-01,1372.45,USD,L
2023-10-01,1408.90,USD,L
2023-11-01,1436.25,USD,L
2023-12-01,1382.60,USD,L
2024-01-01,1417.35,USD,L
2024-02-01,1396.80,USD,L
2024-03-01,1451.95,USD,L
2024-04-01,1478.20,USD,L
2024-05-01,1432.65,USD,L
2024-06-01,1494.10,USD,L
2024-07-01,1446.75,USD,L
2024-08-01,1461.30,USD,L
2024-09-01,1484.85,USD,L
2024-10-01,1459.40,USD,L
2024-11-01,1518.95,USD,L
2024-12-01,1543.20,USD,L
2025-01-01,1497.65,USD,L
2025-02-01,1531.10,USD,L
2025-03-01,1568.75,USD,L
2025-04-01,1514.30,USD,L
2025-05-01,1486.85,USD,L
2025-06-01,1579.40,USD,L
2025-07-01,1542.15,USD,L
2025-08-01,1608.70,USD,L
2025-09-01,1581.25,USD,L
2025-10-01,1574.90,USD,L
2025-11-01,1629.45,USD,L
2025-12-01,1678.80,USD,L
2026-01-01,1697.35,USD,L
2026-02-01,1618.60,USD,L
2026-03-01,1594.25,USD,L
2026-04-01,1631.90,USD,L
2026-05-01,1607.45,USD,L
2026-06-01,1656.20,USD,L
2026-07-01,1622.75,USD,L
2026-08-01,1511.40,USD,L
